participant,compliance,round
959740638,52%,1
899386070,6%,1
887461710,94%,1
880511708,27%,1
875939471,39%,1
864633531,5%,1
842198988,73%,1
793781328,65%,1
789303985,3%,1
771341309,31%,1
764628536,89%,1
724143499,37%,1
718042226,94%,1
683221464,84%,1
634024458,87%,1
629994984,0%,1
569741540,49%,1
565235918,9%,1
517647549,35%,1
517201716,17%,1
505885808,90%,1
472993442,59%,1
456401339,6%,1
454041391,84%,1
432515776,77%,1
430336967,35%,1
420897862,88%,1
418198176,9%,1
388896255,86%,1
350159432,5%,1
345472981,33%,1
330817081,91%,1
224749162,1%,1
187680063,14%,1
174238513,81%,1
129412923,7%,1
122115287,44%,1
120049917,5%,1
103585482,15%,1
93126359,14%,1
79120495,15%,1
63301408,14%,1
81746424,50%,2
94647501,34%,2
132625817,0%,2
192138284,2%,2
204953791,0%,2
233556351,29%,2
257355887,90%,2
282362239,79%,2
337954024,82%,2
458881334,0%,2
483359175,20%,2
503629277,64%,2
523044002,42%,2
533273271,0%,2
540080304,90%,2
554251902,88%,2
567810400,14%,2
587345871,93%,2
597157682,54%,2
657263039,0%,2
666157944,0%,2
687867439,31%,2
709355718,38%,2
721434177,0%,2
733459393,68%,2
737881172,92%,2
769677107,24%,2
788551479,82%,2
788661567,13%,2
801206794,91%,2
837363231,100%,2
854873224,75%,2
886325290,0%,2
926411913,35%,2
934096742,54%,2
947834799,70%,2
958968039,54%,2
987915849,0%,2
