code;factor;plus
ipip[SQ001];1;TRUE
ipip[SQ002];2;FALSE
ipip[SQ003];3;TRUE
ipip[SQ004];4;FALSE
ipip[SQ005];5;TRUE
ipip[SQ006];1;FALSE
ipip[SQ007];2;TRUE
ipip[SQ008];3;FALSE
ipip[SQ009];4;TRUE
ipip[SQ010];5;FALSE
ipip[SQ011];1;TRUE
ipip[SQ012];2;FALSE
ipip[SQ013];3;TRUE
ipip[SQ014];4;FALSE
ipip[SQ015];5;TRUE
ipip[SQ016];1;FALSE
ipip[SQ017];2;TRUE
ipip[SQ018];3;FALSE
ipip[SQ019];4;TRUE
ipip[SQ020];5;FALSE
ipip[SQ021];1;TRUE
ipip[SQ022];2;FALSE
ipip[SQ023];3;TRUE
ipip[SQ024];4;FALSE
ipip[SQ025];5;TRUE
ipip[SQ026];1;FALSE
ipip[SQ027];2;TRUE
ipip[SQ028];3;FALSE
ipip[SQ029];4;FALSE
ipip[SQ030];5;FALSE
ipip[SQ031];1;TRUE
ipip[SQ032];2;FALSE
ipip[SQ033];3;TRUE
ipip[SQ034];4;FALSE
ipip[SQ035];5;TRUE
ipip[SQ036];1;FALSE
ipip[SQ037];2;TRUE
ipip[SQ038];3;FALSE
ipip[SQ039];4;FALSE
ipip[SQ040];5;TRUE
ipip[SQ041];1;TRUE
ipip[SQ042];2;TRUE
ipip[SQ043];3;TRUE
ipip[SQ044];4;FALSE
ipip[SQ045];5;TRUE
ipip[SQ046];1;FALSE
ipip[SQ047];2;TRUE
ipip[SQ048];3;TRUE
ipip[SQ049];4;FALSE
ipip[SQ050];5;TRUE
